Ano,Mes,Ano_Mes,Precios_Mensuales,Aportes_Energia_GWh,Volumen_Util_Diario_Energia_GWh,Demanda_Energia_SIN_GWh,CEN_Total,CEN_Hidro,CEN_Termica
2008,11,2008-11,87.2270138888889,6903.8175,13389.4686446,4459.548301640001,13.475530000000001,8.99656,4.43555
2008,12,2008-12,107.64857526881718,3881.8172,12499.8898656,4583.500639150002,13.478530000000001,8.99656,4.43855
2009,1,2009-01,133.18043010752686,3400.4028,11592.581152,4464.732428920001,13.478530000000001,8.99656,4.43855
2009,2,2009-02,122.25005952380954,2652.753,10294.8575965,4177.199533400001,13.479280000000001,8.99731,4.43855
2009,3,2009-03,108.1732661290323,3471.6335,9330.6498939,4560.086133749999,13.479280000000001,8.99731,4.43855
2009,4,2009-04,88.9451666666667,4057.2216,9025.978034,4406.119785459999,13.479280000000001,8.99731,4.43855
2009,5,2009-05,118.08653225806454,4050.0362,8805.5896491,4586.639999989999,13.49918,8.99731,4.43855
2009,6,2009-06,125.58702777777779,4642.0398000000005,9463.8094726,4414.26521708,13.49918,8.99731,4.43855
2009,7,2009-07,125.51711021505372,5084.6773,10584.9967323,4653.415967579998,13.49918,8.99731,4.43855
2009,8,2009-08,127.6876612903226,4474.0169,11136.083542,4649.43210277,13.49918,8.99731,4.43855
2009,9,2009-09,182.5078888888889,2881.583,10281.37492,4680.945504910001,13.49918,8.99731,4.43855
2009,10,2009-10,189.9347043010753,3199.4769,10407.0937655,4737.305677040001,13.51318,8.99731,4.4525500000000005
2009,11,2009-11,152.53052777777785,3272.5886,10560.4199809,4607.55353689,13.51368,8.99731,4.4525500000000005
2009,12,2009-12,195.05198924731184,1952.5867,10000.0360693,4741.17219583,13.50888,8.99711,4.45835
2010,1,2010-01,152.2578755806451,1221.5764,8923.7890208,4576.940515590001,13.5192,9.00743,4.45835
2010,2,2010-02,195.59115854761905,1122.5067000000001,7506.322928,4409.45958076,13.5192,9.00743,4.45835
2010,3,2010-03,189.981887,1798.4603,6222.2325408,4890.121369280001,13.5162,9.00443,4.45835
2010,4,2010-04,195.5365247,3489.5001,6577.5428625,4610.75452718,13.5162,9.00443,4.45835
2010,5,2010-05,150.3243332580645,4793.9302,7476.8822764999995,4785.909137670001,13.5356,9.02383,4.45835
2010,6,2010-06,91.33092138888888,5426.464,8385.4769566,4587.07417855,13.5451,9.03333,4.45835
2010,7,2010-07,82.94435402150538,6616.8396999999995,9723.623335,4706.751242249999,13.5451,9.03333,4.45835
2010,8,2010-08,84.85816305376345,4696.5368,9868.8374547,4771.81021582,13.56755,9.03588,4.45835
2010,9,2010-09,112.30941277777777,4935.7924,10318.2767321,4664.845196809999,13.56755,9.03588,4.45835
2010,10,2010-10,136.5222227204301,5017.2451,10741.9803208,4818.6964663399995,13.56673,9.03506,4.45835
2010,11,2010-11,92.01793782222222,7442.9144,12189.9417391,4615.735254089999,13.56653,9.03486,4.45835
2010,12,2010-12,66.69853210752687,5742.7892,11957.096845799999,4707.231941229999,13.30258,9.04391,4.18535
2011,1,2011-01,89.4705183655914,3178.7464,10536.5329707,4666.629922770001,13.5161,9.25743,4.18535
2011,2,2011-02,105.68437985714287,2783.3671,9161.5806877,4359.0004368499995,13.51328,9.25661,4.18335
2011,3,2011-03,79.72670190322582,5498.3977,9297.3418699,4801.20535973,13.51428,9.25661,4.18435
2011,4,2011-04,73.41635112222221,9768.3713,12194.242251,4587.45278453,13.51428,9.25661,4.18435
2011,5,2011-05,58.49071407526881,8910.5391,13243.7370736,4855.477120210001,13.694280000000001,9.43661,4.18435
2011,6,2011-06,60.06163481111111,6856.44,13438.052275600001,4693.72694978,13.86128,9.61661,4.17135
2011,7,2011-07,55.513861784946236,5641.1807,13358.9838017,4817.043819209999,13.86328,9.61661,4.17135
2011,8,2011-08,88.97861669892472,4902.744,12922.482815,4978.71613556,14.326600000000001,9.61743,4.63435
2011,9,2011-09,92.50953437777778,4634.9468,12767.2291817,4601.694303729999,14.2933,9.78913,4.42935
2011,10,2011-10,72.86567944086022,6527.4871,13336.8209328,4573.200467679999,14.209480000000001,9.71831,4.41635
2011,11,2011-11,70.53858275555555,7544.8333,14183.9256887,4790.8238631099985,14.222480000000001,9.71831,4.42935
2011,12,2011-12,55.75605648387097,7262.4187,13967.9426283,5013.811457139998,14.427480000000001,9.71831,4.63435
2012,1,2012-01,53.61037947311828,4005.7138999999997,12801.4651259,4806.914288879999,14.427480000000001,9.71831,4.63435
2012,2,2012-02,78.49598144827586,2588.3468,10941.440359100001,4631.69949736,14.36618,9.71831,4.57465
2012,3,2012-03,119.10521388172043,3805.835,9910.81208,5033.862343830002,14.34918,9.71831,4.55765
2012,4,2012-04,56.99427418888888,7427.3144,11721.6271352,4724.690347849999,14.34918,9.71831,4.55765
2012,5,2012-05,46.858692741935485,7626.1793,12772.9369632,5032.70874266,14.36908,9.71831,4.5775500000000005
2012,6,2012-06,87.35270906666666,4911.0265,12794.9260144,4893.700379069999,14.38898,9.73821,4.5775500000000005
2012,7,2012-07,79.17754592473119,5731.7656,13104.0643736,5033.978349169999,14.38898,9.73821,4.5775500000000005
2012,8,2012-08,140.26220102150538,5495.3445,13266.1582253,5104.311004320001,14.44868,9.75811,4.61735
2012,9,2012-09,183.3778401333333,3341.0097,12295.5987799,5024.6143988600015,14.44868,9.75811,4.61735
2012,10,2012-10,198.00380627956991,4539.5635,12452.4658513,5069.525185469999,14.44868,9.75811,4.61735
2012,11,2012-11,166.9982269888889,3900.1718,12186.979136,4979.61745797,14.469048,9.778478,4.61735
2012,12,2012-12,180.3391705376344,2952.0958,11180.6147566,5034.274388919999,14.412838,9.776768,4.56035
2013,1,2013-01,184.45569695698921,1757.6479,9132.098686899999,5025.202450519997,14.412838,9.776768,4.56035
2013,2,2013-02,181.17711414285714,2284.6319,7920.6328719,4609.685803179998,14.408098,9.772028,4.56035
2013,3,2013-03,137.53884632258064,3018.6972,6755.5270117,5033.036815859998,14.408098,9.772028,4.56035
2013,4,2013-04,229.82422287777777,3077.6561,5843.1251267,5106.221045199999,14.416388,9.776318,4.56035
2013,5,2013-05,139.81515178494624,6662.2292,7567.8208257,5163.34770235,14.497738,9.857668,4.56035
2013,6,2013-06,143.10235772222222,4577.4225,7842.928700500001,4955.012794029996,14.497738,9.857668,4.56035
2013,7,2013-07,232.14024353763443,4554.2219000000005,8420.0922823,5205.500366739998,14.497738,9.857668,4.56035
2013,8,2013-08,150.55001888172043,5565.0532,9556.1042943,5196.4761026099995,14.497738,9.857668,4.56035
2013,9,2013-09,144.2059049111111,4334.3436,9515.6319524,5084.604754359999,14.497738,9.857668,4.56035
2013,10,2013-10,211.93833133333334,4187.919,9530.4866465,5249.049034319998,14.407938,9.818868,4.50935
2013,11,2013-11,210.38550514444444,5058.0637,10436.3677101,5085.699290939998,14.821298,9.868228,4.87335
2013,12,2013-12,164.0329949139785,4373.2254,10495.0554193,5176.4405783099965,14.551258,9.868188,4.59835
2014,1,2014-01,160.47509748387097,2638.7363,9210.7354302,5166.889830339999,14.614548000000001,9.925478,4.60435
2014,2,2014-02,187.96510933333332,2511.0278,8098.8094612,4902.078119950001,14.614548000000001,9.925478,4.60435
2014,3,2014-03,151.3030924301075,3260.8992,7189.5594969,5316.729996939999,14.615048,9.925978,4.60435
2014,4,2014-04,373.7469429222223,3352.2863,6789.3685276,5168.990081709999,14.661048000000001,9.975978,4.60435
2014,5,2014-05,381.9789959677419,4483.7752,7495.3683318,5410.874764069999,14.661048000000001,9.975978,4.5893500000000005
2014,6,2014-06,334.87149411111113,6340.0527,10001.3367976,5218.074438819999,14.696048,10.010978,4.5893500000000005
2014,7,2014-07,184.66963265591397,5818.2378,11002.5556653,5513.590528489999,14.696748,10.011678,4.5893500000000005
2014,8,2014-08,200.16727843010753,4524.0687,11370.7960725,5418.88114701,14.696748,10.011678,4.5893500000000005
2014,9,2014-09,177.31851948888888,4090.9878,11173.3963822,5345.77435341,14.696748,10.011678,4.5893500000000005
2014,10,2014-10,207.02634377419355,4790.5836,11776.814283,5461.280265509999,14.696748,10.011678,4.5893500000000005
2014,11,2014-11,166.56813924444447,4605.4682999999995,12012.0103569,5250.69552105,14.701948,10.016878,4.5893500000000005
2014,12,2014-12,175.05465266666667,3690.967,12132.0806062,5397.388815229999,15.480948,10.899878,4.48535
2015,1,2015-01,187.59591108602152,2286.6284,10489.8555601,5309.656094759999,15.508848,10.919777999999999,4.49335
2015,2,2015-02,166.2312292738095,2587.5443,8990.6046216,5048.31372137,15.508848,10.919777999999999,4.49335
2015,3,2015-03,205.50295066666666,2726.6056,7248.264199300001,5533.32888368,15.513748,10.919777999999999,4.49335
2015,4,2015-04,161.30443577777777,4490.7414,7296.6354476999995,5278.06724414,15.521748,10.919777999999999,4.50135
2015,5,2015-05,259.1989313548387,4550.3864,7431.3475653000005,5622.903455739999,15.521748,10.919777999999999,4.50135
2015,6,2015-06,186.4165488,6985.7002,9788.3283068,5413.925539850001,15.521848,10.919878,4.50135
2015,7,2015-07,206.15807048387097,6178.8883,10890.4972947,5669.228469160002,15.550848,10.948878,4.50135
2015,8,2015-08,183.70840486021504,5497.6467,11216.4518959,5691.35390177,15.576848,10.974878,4.50135
2015,9,2015-09,458.83468584444444,3413.9994,10432.9551121,5701.075208770002,15.744748,10.979778,4.66435
2015,10,2015-10,1106.6191596129033,3061.0887,10101.2807055,5762.7268013600005,15.744848,10.979778,4.66445
2015,11,2015-11,766.9919818444444,3839.7174,11516.8921929,5441.192819010002,16.381848,11.456778,4.82445
2015,12,2015-12,630.1935495913978,2334.262,10562.9915277,5534.757389660001,16.420018,11.500548,4.81445
2016,1,2016-01,554.1589823010753,1595.8636999999999,9037.3194,5583.733864989999,16.420018,11.500548,4.81445
2016,2,2016-02,645.9999111494253,1565.2705,7522.5694,5464.923954259999,16.420018,11.500548,4.81445
2016,3,2016-03,830.0181967526883,1959.5842,6732.8089,5567.053865710002,16.516918,11.500548,4.90785
2016,4,2016-04,332.4932637111111,4040.6534,7006.4283000000005,5396.940514249999,16.514018,11.512248,4.89915
2016,5,2016-05,140.31038082795698,5426.3216,7684.7918,5550.004264730001,16.514718,11.512948,4.89915
2016,6,2016-06,167.97191656666666,5049.3487000000005,8185.401900000001,5400.6429429400005,16.536668,11.532648,4.9014
2016,7,2016-07,129.2143740967742,6372.3576,9705.2075,5488.292706640003,16.540068,11.532648,4.9004
2016,8,2016-08,198.0151265483871,4938.5326,9733.1656,5762.191346219999,16.540068,11.532648,4.9004
